EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.001281,22.93,97.07,0.687531,0.0,22.43,142.4,0.531274,0.0,22.05,185.78,0.671906
0.002562,22.79,96.6,0.671906,0.0,22.45,142.12,0.5469,0.0,22.05,185.73,0.734409
0.0,22.79,96.13,0.687531,0.0,22.45,141.78,0.531274,0.0,22.05,185.73,0.750034
0.001281,22.79,95.68,0.671906,0.0,22.45,141.45,0.593777,0.0,22.05,185.75,0.76566
0.0,22.79,95.27,0.671906,0.0,22.45,141.02,0.609403,0.0,22.05,185.77,0.796911
0.0,22.81,94.82,0.625029,0.0,22.43,140.6,0.515649,0.0,21.99,185.78,0.703157
0.0,22.81,94.42,0.609403,0.0,22.43,140.18,0.625029,0.0,21.99,185.85,0.703157
0.001281,22.81,94.0,0.640654,0.0,22.43,139.68,0.531274,0.0,21.99,185.9,0.703157
0.001281,22.81,93.57,0.640654,0.0,22.43,139.23,0.500023,0.0,21.99,185.9,0.750034
0.001281,22.79,93.17,0.671906,0.0,22.45,138.77,0.531274,0.0,22.01,185.88,0.843789
0.001281,22.79,92.73,0.609403,0.0,22.45,138.27,0.5469,0.0,22.01,185.85,0.781286
0.0,22.79,92.35,0.640654,0.0,22.45,137.78,0.484397,0.0,22.01,185.77,0.781286
0.001281,22.79,91.97,0.687531,0.0,22.45,137.3,0.609403,0.0,22.01,185.63,0.828163
0.001281,22.71,91.68,0.781286,0.001281,22.45,136.8,0.500023,0.0,21.99,185.45,1.000046
0.0,22.71,91.38,0.843789,0.001281,22.45,136.3,0.531274,0.0,21.99,185.18,0.734409
0.0,22.71,91.07,0.750034,0.0,22.45,135.73,0.5469,0.0,21.99,184.83,0.812537
0.001281,22.71,90.72,0.76566,0.0,22.45,135.18,0.609403,0.0,21.99,184.57,0.859414
0.0,22.69,89.92,0.562526,0.0,22.45,134.6,0.5469,0.0,22.03,184.33,0.76566
0.0,22.69,90.08,0.515649,0.0,22.45,134.05,0.531274,0.0,22.03,184.12,0.750034
0.0,22.69,90.22,0.562526,0.0,22.45,133.67,0.562526,0.0,22.03,183.92,0.76566
0.0,22.69,90.33,0.578151,0.0,22.45,133.42,0.531274,0.0,22.03,183.7,0.890666
0.0,22.69,90.42,0.562526,0.0,22.43,133.13,0.5469,0.0,22.07,183.48,0.687531
0.001281,22.69,90.67,0.687531,0.0,22.43,132.87,0.5469,0.0,22.07,183.2,0.781286
0.0,22.69,90.97,0.781286,0.0,22.43,132.63,0.484397,0.0,22.07,182.93,0.734409
0.0,22.69,91.28,0.671906,0.0,22.43,132.4,0.562526,0.0,22.07,182.73,0.718783
0.0,22.69,91.75,0.625029,0.0,22.45,132.18,0.531274,0.0,22.09,182.5,0.703157
0.001281,22.69,92.23,0.671906,0.0,22.45,131.95,0.500023,0.0,22.09,182.23,0.796911
0.0,22.69,92.73,0.671906,0.0,22.45,131.75,0.531274,0.0,22.09,181.98,0.843789
0.0,22.69,93.28,0.687531,0.0,22.45,131.55,0.5469,0.0,22.09,181.78,0.843789
0.0,22.67,93.9,0.640654,0.0,22.45,131.27,0.5469,0.0,22.03,181.62,0.890666
0.0,22.67,94.53,0.609403,0.0,22.45,131.03,0.593777,0.0,22.03,181.55,0.812537
0.0,22.67,95.18,0.640654,0.0,22.45,130.75,0.500023,0.0,22.03,181.45,0.76566
0.0,22.67,96.62,0.76566,0.0,22.45,130.42,0.531274,0.0,22.03,181.33,0.796911
0.0,22.67,98.07,0.812537,0.0,22.43,130.13,0.578151,0.0,22.01,180.97,0.796911
0.0,22.67,100.0,0.843789,0.0,22.43,129.83,0.531274,0.0,22.01,180.58,0.828163
0.002562,22.67,101.85,0.76566,0.0,22.43,129.53,0.531274,0.0,22.01,180.2,0.859414
